0.063866,0.753959,24,24
0.323287,0.769487,7,7
0.278348,0.692523,7,7
0.031055,0.779656,27,27
0.818441,0.771901,39,39
0.63854,0.385989,32,32
0.123567,0.070297,34,34
0.330353,0.280633,5,5
0.820313,0.728031,39,39
0.75225,0.969832,10,10
-0.00189,0.74596,8,8
0.3351,0.335405,5,5
0.876637,0.854543,17,17
0.010271,0.765523,31,31
0.2657,0.777152,25,25
0.317803,0.163344,30,30
0.747138,0.083455,11,11
0.664512,0.96614,1,1
0.437689,0.48686,33,33
0.428759,0.062056,23,23
0.632374,0.362219,32,32
0.019759,0.806379,27,27
0.06338,0.758908,24,24
0.797638,0.778404,39,39
-0.021638,0.776991,31,31
0.17503,0.031055,28,28
0.662946,0.809179,14,14
0.955449,0.85381,17,17
-0.017862,0.491749,3,3
0.423917,0.522083,33,33
0.089083,0.084293,6,6
0.393188,0.845321,13,13
0.494724,0.082575,23,23
0.453927,0.728011,0,0
0.315275,0.681284,7,7
0.0584,0.39546,21,21
0.037856,0.769652,24,24
0.602082,0.362589,32,32
0.08064,0.102814,6,6
0.659438,0.813732,14,14
0.029725,0.465498,3,3
0.996963,0.343208,4,4
0.390394,0.368538,5,5
0.199045,0.005975,38,38
0.719347,0.091339,11,11
0.276847,0.717098,7,7
0.562584,0.955877,12,12
0.145375,0.415322,29,29
0.332521,0.729988,7,7
0.732366,0.094757,11,11
0.73093,0.638054,15,15
0.094619,0.396813,21,21
0.057094,0.498229,22,22
0.79903,0.782891,39,39
0.979105,0.328275,4,4
0.450331,0.738917,18,18
0.947315,0.854522,17,17
0.927037,0.3372,4,4
0.86509,0.886685,17,17
0.613387,0.365372,32,32
0.891801,0.825475,17,17
0.959238,0.337488,4,4
0.822471,0.539514,15,15
0.927698,0.84985,17,17
0.429473,0.690987,0,0
0.172041,0.01857,28,28
0.704902,0.630228,15,15
0.709442,0.606751,15,15
0.044742,0.521446,22,22
0.702877,0.92536,10,10
0.815871,0.534242,15,15
0.597538,0.335533,32,32
0.141579,0.413557,29,29
0.945344,0.876174,17,17
0.980394,0.334602,4,4
0.07225,0.08282,6,6
0.5456,0.956149,12,12
0.067455,0.283445,35,35
0.73823,0.067379,11,11
0.226072,0.802671,20,20
0.07703,0.350795,21,21
0.133021,0.026275,28,28
0.182605,0.429697,29,29
0.177847,0.610294,2,2
0.033624,0.127502,19,19
0.382044,0.834646,13,13
0.890108,0.844033,17,17
0.201158,0.022979,28,28
0.039075,0.510877,22,22
0.301169,0.697302,7,7
0.381395,0.342346,5,5
0.328601,0.325756,5,5
0.316201,0.739826,7,7
0.115513,0.074028,34,34
0.017008,0.799455,27,27
0.838806,0.748838,39,39
0.107769,0.076511,34,34
0.014968,0.14744,19,19
0.182546,0.461439,29,29
0.828159,0.553012,15,15
0.161342,0.633142,9,9
0.636539,0.359664,32,32
0.181733,0.459607,29,29
0.735991,0.608477,15,15
0.164495,-0.011607,38,38
0.574816,0.958234,12,12
0.592882,0.355569,32,32
0.230899,0.762937,25,25
0.468249,0.709193,0,0
0.706838,0.614337,15,15
0.342712,0.32966,5,5
0.624466,0.362117,32,32
0.462517,0.112234,23,23
0.94642,0.366918,4,4
0.875624,0.871742,17,17
0.423622,0.470842,33,33
0.263418,0.189811,30,30
0.689622,0.580282,15,15
0.023326,0.771691,24,24
0.723425,0.596982,15,15
0.150277,0.036815,28,28
0.00125,0.764115,31,31
0.081512,0.343012,21,21
0.982315,0.331945,4,4
0.787955,0.524847,15,15
0.92671,0.830707,17,17
0.918809,0.854149,17,17
0.723735,0.140661,11,11
0.742505,0.561894,15,15
0.614084,0.345647,32,32
0.4128,0.851141,13,13
0.19888,0.025692,28,28
0.476764,0.069031,23,23
0.739939,0.881699,37,37
0.773002,0.895597,37,37
-0.0009,0.792313,31,31
0.296589,0.727085,7,7
0.013718,0.149823,19,19
0.587626,0.377663,32,32
0.708068,0.941746,10,10
0.981567,0.301684,4,4
0.003044,0.121642,19,19
0.788903,0.534438,15,15
0.367758,0.319845,5,5
0.342238,0.164285,30,30
0.216807,0.786811,20,20
0.083316,0.45208,22,22
0.010027,0.771662,31,31
0.421977,0.864526,13,13
0.082177,0.125681,6,6
0.755686,0.81852,37,37
0.333814,0.733614,7,7
0.092319,0.077414,6,6
0.819068,0.534576,15,15
0.686023,0.943604,1,1
0.468293,0.089559,23,23
0.764508,0.09423,11,11
0.172361,0.446292,29,29
0.037413,0.50789,3,3
0.877044,0.829604,17,17
0.888451,0.824897,17,17
0.442395,0.477531,33,33
0.799445,0.746691,39,39
0.74832,0.607821,15,15
0.39343,0.860208,13,13
0.614309,0.373353,32,32
0.744225,0.596766,15,15
0.17906,0.445799,29,29
0.484224,0.086889,23,23
0.400974,0.34558,5,5
0.992567,0.317126,4,4
0.665704,0.812154,14,14
0.355602,0.308402,5,5
0.925769,0.832525,17,17
0.042618,0.112356,19,19
0.051067,0.444004,22,22
0.733525,0.863699,37,37
0.361118,0.733418,7,7
0.019762,0.731076,8,8
-0.002574,0.771742,31,31
0.937636,0.85938,17,17
0.5778,0.962367,12,12
0.674747,0.579854,15,15
0.690011,0.581344,15,15
0.421614,0.683899,0,0
0.926931,0.838835,17,17
0.56271,0.942607,12,12
0.197246,0.399703,29,29
-0.007101,0.775534,31,31
0.396195,0.828182,13,13
0.028138,0.509109,3,3
0.446378,0.477412,33,33
0.344441,0.323313,5,5
0.987778,0.358419,4,4
0.780237,0.91276,10,10
0.60836,0.826025,14,14
0.982582,0.333789,4,4
0.041184,0.083454,19,19
0.72326,0.077855,11,11
0.796441,0.915816,10,10
-0.006971,0.099765,19,19
0.008988,0.818965,27,27
0.068525,0.321742,35,35
0.659798,0.816891,14,14
0.60682,0.339016,32,32
0.006864,0.149397,19,19
0.616727,0.358195,32,32
0.393112,0.484279,33,33
