0.063866,0.753959
0.323287,0.769487
0.278348,0.692523
0.031055,0.779656
0.818441,0.771901
0.638540,0.385989
0.123567,0.070297
0.330353,0.280633
0.820313,0.728031
0.752250,0.969832
-0.001890,0.745960
0.335100,0.335405
0.876637,0.854543
0.010271,0.765523
0.265700,0.777152
0.317803,0.163344
0.747138,0.083455
0.664512,0.966140
0.437689,0.486860
0.428759,0.062056
0.632374,0.362219
0.019759,0.806379
0.063380,0.758908
0.797638,0.778404
-0.021638,0.776991
0.175030,0.031055
0.662946,0.809179
0.955449,0.853810
-0.017862,0.491749
0.423917,0.522083
0.089083,0.084293
0.393188,0.845321
0.494724,0.082575
0.453927,0.728011
0.315275,0.681284
0.058400,0.395460
0.037856,0.769652
0.602082,0.362589
0.080640,0.102814
0.659438,0.813732
0.029725,0.465498
0.996963,0.343208
0.390394,0.368538
0.199045,0.005975
0.719347,0.091339
0.276847,0.717098
0.562584,0.955877
0.145375,0.415322
0.332521,0.729988
0.732366,0.094757
0.730930,0.638054
0.094619,0.396813
0.057094,0.498229
0.799030,0.782891
0.979105,0.328275
0.450331,0.738917
0.947315,0.854522
0.927037,0.337200
0.865090,0.886685
0.613387,0.365372
0.891801,0.825475
0.959238,0.337488
0.822471,0.539514
0.927698,0.849850
0.429473,0.690987
0.172041,0.018570
0.704902,0.630228
0.709442,0.606751
0.044742,0.521446
0.702877,0.925360
0.815871,0.534242
0.597538,0.335533
0.141579,0.413557
0.945344,0.876174
0.980394,0.334602
0.072250,0.082820
0.545600,0.956149
0.067455,0.283445
0.738230,0.067379
0.226072,0.802671
0.077030,0.350795
0.133021,0.026275
0.182605,0.429697
0.177847,0.610294
0.033624,0.127502
0.382044,0.834646
0.890108,0.844033
0.201158,0.022979
0.039075,0.510877
0.301169,0.697302
0.381395,0.342346
0.328601,0.325756
0.316201,0.739826
0.115513,0.074028
0.017008,0.799455
0.838806,0.748838
0.107769,0.076511
0.014968,0.147440
0.182546,0.461439
0.828159,0.553012
0.161342,0.633142
0.636539,0.359664
0.181733,0.459607
0.735991,0.608477
0.164495,-0.011607
0.574816,0.958234
0.592882,0.355569
0.230899,0.762937
0.468249,0.709193
0.706838,0.614337
0.342712,0.329660
0.624466,0.362117
0.462517,0.112234
0.946420,0.366918
0.875624,0.871742
0.423622,0.470842
0.263418,0.189811
0.689622,0.580282
0.023326,0.771691
0.723425,0.596982
0.150277,0.036815
0.001250,0.764115
0.081512,0.343012
0.982315,0.331945
0.787955,0.524847
